[2021-05-21 19:01:54.130983 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:55.175006 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:01:56.105023 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:01:57.133896 +09:00] KRW-TSHP, last: 20.9, min: 19.8
[2021-05-21 19:01:59.103146 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:02:00.125977 +09:00] KRW-TSHP, last: 21, min: 19.9
[2021-05-21 19:02:01.140241 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:02.281874 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:03.093155 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:02:04.084530 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:02:05.102288 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:06.079629 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:07.106515 +09:00] KRW-TSHP, last: 21, min: 19.8
[2021-05-21 19:02:08.090384 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:09.066212 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:10.083482 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:11.079447 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:12.102468 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:13.081292 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:14.112616 +09:00] KRW-TSHP, last: 21, min: 19.7
[2021-05-21 19:02:15.089379 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:02:16.083905 +09:00] KRW-TSHP, last: 20.9, min: 19.7
[2021-05-21 19:02:18.081880 +09:00] KRW-TSHP, last: 20.8, min: 19.7
[2021-05-21 19:02:22.068829 +09:00] KRW-TSHP, last: 20.9, min: 19.8
[2021-05-21 19:02:24.136234 +09:00] KRW-ADX, last: 1250, min: 1185
[2021-05-21 19:02:25.084036 +09:00] KRW-ADX, last: 1250, min: 1185
[2021-05-21 19:02:26.097452 +09:00] KRW-ADX, last: 1250, min: 1185
[2021-05-21 19:02:28.075474 +09:00] KRW-ADX, last: 1245, min: 1180
[2021-05-21 19:02:29.079720 +09:00] KRW-ADX, last: 1245, min: 1180
[2021-05-21 19:02:30.079730 +09:00] KRW-ADX, last: 1245, min: 1180
[2021-05-21 19:02:31.141994 +09:00] KRW-ADX, last: 1245, min: 1180
[2021-05-21 19:02:34.079546 +09:00] KRW-ADX, last: 1245, min: 1180
[2021-05-21 19:03:52.878918 +09:00] KRW-HUNT, last: 398, min: 378
[2021-05-21 19:03:53.865113 +09:00] KRW-HUNT, last: 399, min: 378
[2021-05-21 19:03:54.859384 +09:00] KRW-HUNT, last: 399, min: 378
[2021-05-21 19:03:55.876015 +09:00] KRW-HUNT, last: 398, min: 378
[2021-05-21 19:03:56.886543 +09:00] KRW-HUNT, last: 400, min: 378
[2021-05-21 19:03:57.869661 +09:00] KRW-HUNT, last: 399, min: 378
[2021-05-21 19:03:58.878432 +09:00] KRW-HUNT, last: 399, min: 378
[2021-05-21 19:04:00.024607 +09:00] KRW-HUNT, last: 399, min: 378
[2021-05-21 19:04:00.860856 +09:00] KRW-HUNT, last: 400, min: 378
[2021-05-21 19:04:01.872068 +09:00] KRW-HUNT, last: 398, min: 378
[2021-05-21 19:04:02.840134 +09:00] KRW-HUNT, last: 400, min: 378
[2021-05-21 19:04:03.850793 +09:00] KRW-HUNT, last: 400, min: 378
[2021-05-21 19:04:04.864442 +09:00] KRW-HUNT, last: 400, min: 378
[2021-05-21 19:04:05.842642 +09:00] KRW-HUNT, last: 401, min: 378
[2021-05-21 19:04:06.859924 +09:00] KRW-HUNT, last: 402, min: 380
[2021-05-21 19:04:07.878464 +09:00] KRW-HUNT, last: 401, min: 378
[2021-05-21 19:04:08.850774 +09:00] KRW-HUNT, last: 402, min: 380
[2021-05-21 19:04:09.917162 +09:00] KRW-HUNT, last: 403, min: 380
[2021-05-21 19:04:10.864931 +09:00] KRW-HUNT, last: 403, min: 380
[2021-05-21 19:04:11.838768 +09:00] KRW-HUNT, last: 403, min: 380
[2021-05-21 19:04:12.870078 +09:00] KRW-HUNT, last: 403, min: 378
[2021-05-21 19:04:13.878125 +09:00] KRW-HUNT, last: 403, min: 377
[2021-05-21 19:04:14.837369 +09:00] KRW-HUNT, last: 404, min: 377
[2021-05-21 19:04:15.857747 +09:00] KRW-HUNT, last: 403, min: 377
[2021-05-21 19:04:16.875053 +09:00] KRW-HUNT, last: 404, min: 378
[2021-05-21 19:04:17.867264 +09:00] KRW-HUNT, last: 405, min: 377
[2021-05-21 19:04:18.857318 +09:00] KRW-HUNT, last: 402, min: 378
[2021-05-21 19:04:19.879119 +09:00] KRW-HUNT, last: 402, min: 377
[2021-05-21 19:04:20.854992 +09:00] KRW-HUNT, last: 403, min: 378
[2021-05-21 19:04:21.859460 +09:00] KRW-HUNT, last: 398, min: 377
[2021-05-21 19:04:22.879590 +09:00] KRW-HUNT, last: 399, min: 378
[2021-05-21 19:04:27.861905 +09:00] KRW-HUNT, last: 398, min: 377
[2021-05-21 19:04:32.842564 +09:00] KRW-HUNT, last: 397, min: 377
[2021-05-21 19:04:33.863120 +09:00] KRW-HUNT, last: 397, min: 377
[2021-05-21 19:04:36.859515 +09:00] KRW-HUNT, last: 397, min: 377
[2021-05-21 19:04:41.867567 +09:00] KRW-HUNT, last: 396, min: 376
[2021-05-21 19:05:11.898650 +09:00] KRW-HUNT, last: 392, min: 372
[2021-05-21 19:05:18.861079 +09:00] KRW-HUNT, last: 395, min: 374
[2021-05-21 19:05:20.856629 +09:00] KRW-HUNT, last: 394, min: 374
[2021-05-21 19:05:21.857 +09:00] KRW-HUNT, last: 394, min: 374
[2021-05-21 19:05:22.894799 +09:00] KRW-HUNT, last: 394, min: 374
[2021-05-21 19:05:23.843012 +09:00] KRW-HUNT, last: 395, min: 375
[2021-05-21 19:05:24.852838 +09:00] KRW-HUNT, last: 395, min: 373
[2021-05-21 19:05:25.882682 +09:00] KRW-HUNT, last: 397, min: 374
[2021-05-21 19:05:26.885624 +09:00] KRW-HUNT, last: 397, min: 374
[2021-05-21 19:05:27.935247 +09:00] KRW-HUNT, last: 397, min: 374
[2021-05-21 19:05:28.887512 +09:00] KRW-HUNT, last: 397, min: 373
[2021-05-21 19:05:29.849373 +09:00] KRW-HUNT, last: 398, min: 374
[2021-05-21 19:05:30.850617 +09:00] KRW-HUNT, last: 398, min: 373
[2021-05-21 19:05:31.881515 +09:00] KRW-HUNT, last: 398, min: 373
[2021-05-21 19:05:32.865032 +09:00] KRW-HUNT, last: 398, min: 374
[2021-05-21 19:05:33.922787 +09:00] KRW-HUNT, last: 398, min: 374
[2021-05-21 19:05:34.882528 +09:00] KRW-HUNT, last: 399, min: 373
[2021-05-21 19:05:35.835264 +09:00] KRW-HUNT, last: 398, min: 373
[2021-05-21 19:05:36.862475 +09:00] KRW-HUNT, last: 402, min: 373
